User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
172503166,2022-04-17 03:11:07,Spot,POS savings interest,AXS,0.00135995,""
172503166,2022-04-17 03:11:16,Spot,POS savings interest,BNB,0.00001245,""
172503166,2022-04-17 03:18:50,Savings,Savings Interest,BSW,0.00000761,""
172503166,2022-04-17 03:18:55,Savings,Savings Interest,SHIB,0.48000000,""
172503166,2022-04-17 03:24:47,Savings,Savings Interest,APE,0.00000311,""
172503166,2022-04-17 03:58:35,Savings,Savings Interest,USDT,0.00006578,""
172503166,2022-04-17 04:02:42,Savings,Savings Interest,BNB,9E-8,""
172503166,2022-04-17 04:11:43,Savings,Savings Interest,ROSE,0.00000137,""
172503166,2022-04-17 04:39:24,Spot,Liquid Swap rewards,USDT,0.00003028,""
172503166,2022-04-17 04:39:24,Spot,Liquid Swap rewards,BNB,1.1E-7,""
172503166,2022-04-17 05:14:40,Savings,Savings purchase,LDSHIB2,8.23000000,""
172503166,2022-04-17 05:14:40,Savings,Savings purchase,SHIB,-8.23000000,""
172503166,2022-04-17 06:06:26,Savings,Savings purchase,LDROSE,0.00000137,""
172503166,2022-04-17 06:06:26,Savings,Savings purchase,ROSE,-0.00000137,""
172503166,2022-04-17 06:11:05,Savings,Savings purchase,BSW,-0.01545045,""
172503166,2022-04-17 06:11:05,Savings,Savings purchase,LDBSW,0.01545045,""
172503166,2022-04-17 06:15:14,Savings,Savings purchase,APE,-0.00000311,""
172503166,2022-04-17 06:15:14,Savings,Savings purchase,LDAPE,0.00000311,""
172503166,2022-04-17 08:38:06,Spot,ETH 2.0 Staking Rewards,BETH,0.00000193,""
172503166,2022-04-17 14:09:28,Spot,Liquid Swap rewards,BNB,9E-8,""
172503166,2022-04-17 14:09:28,Spot,Liquid Swap rewards,USDT,0.00002417,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,BUSD,-0.00016088,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,GMT,-0.07378321,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,USDT,-0.00012023,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,BNB,0.00170774,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,BNB,2.8E-7,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,BNB,3.8E-7,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,CTSI,-2.02353679,""
172503166,2022-04-17 16:08:01,Spot,Small assets exchange BNB,BNB,0.00044213,""
172503166,2022-04-17 16:09:27,USDT-Futures,Fee,BNB,-0.00001783,""
172503166,2022-04-17 16:09:27,USDT-Futures,Fee,BNB,-0.00000742,""
172503166,2022-04-17 16:09:27,USDT-Futures,Fee,BNB,-0.00000742,""
172503166,2022-04-17 16:21:25,Spot,Liquid Swap rewards,BNB,2E-8,""
172503166,2022-04-17 16:21:25,Spot,Liquid Swap rewards,USDT,0.00000615,""
172503166,2022-04-17 16:24:55,Savings,Savings Principal redemption,LDBUSD,-0.58738304,""
172503166,2022-04-17 16:24:55,Savings,Savings Principal redemption,BUSD,0.58738304,""
172503166,2022-04-17 16:25:11,Savings,Savings Principal redemption,LDUSDT,-0.24009543,""
172503166,2022-04-17 16:25:11,Savings,Savings Principal redemption,USDT,0.24009543,""
172503166,2022-04-17 16:26:27,USDT-Futures,Asset Conversion Transfer,BUSD,-0.58738304,""
172503166,2022-04-17 16:26:27,USDT-Futures,Asset Conversion Transfer,USDT,0.58711877,""
172503166,2022-04-17 16:47:20,USDT-Futures,Realize profit and loss,USDT,-0.18540000,""
172503166,2022-04-17 16:47:20,USDT-Futures,Fee,BNB,-0.00003252,""
172503166,2022-04-17 16:51:41,USDT-Futures,Fee,BNB,-0.00002445,""
172503166,2022-04-17 16:53:38,USDT-Futures,Fee,BNB,-0.00005146,""
172503166,2022-04-17 16:57:48,USDT-Futures,Fee,BNB,-0.00005140,""
172503166,2022-04-17 16:57:48,USDT-Futures,Realize profit and loss,USDT,-0.18792000,""
172503166,2022-04-17 16:58:54,USDT-Futures,Fee,BNB,-0.00001268,""
172503166,2022-04-17 16:58:54,USDT-Futures,Fee,BNB,-0.00001032,""
172503166,2022-04-17 17:08:38,USDT-Futures,Realize profit and loss,USDT,0.02574000,""
172503166,2022-04-17 17:08:38,USDT-Futures,Fee,BNB,-0.00002298,""
172503166,2022-04-17 17:10:58,USDT-Futures,Fee,BNB,-0.00001785,""
172503166,2022-04-17 17:13:22,USDT-Futures,Realize profit and loss,USDT,0.01536000,""
